CreatedDate,ClosedDate,Time,Longitude,Latitude,Agency,Borough
2015-09-18,2015-09-19,24,-73.8157569393232,40.8187926216246,DSNY,BRONX
2015-12-04,2015-12-08,14,-73.964676730089,40.6010662339555,HPD,BROOKLYN
2015-06-03,2015-06-11,16,-73.8444757951248,40.7229692861577,DOT,QUEENS
2015-08-04,2015-08-26,14,-73.8541165024088,40.8972417662695,HPD,BRONX
2015-10-30,2015-12-21,24,-73.8944225188872,40.6740482656778,HPD,BROOKLYN
2015-05-19,2015-05-20,11,-73.9612116522667,40.5776684377684,DEP,BROOKLYN
2015-02-06,2015-02-09,20,-73.8225491003946,40.776822576264,DEP,QUEENS
2015-11-19,2015-11-19,8,-73.9396793975252,40.8185617396349,NYPD,MANHATTAN
2015-12-16,2015-12-18,14,-73.8875338572785,40.8725138281121,HPD,BRONX
2015-08-05,2015-08-19,5,-73.8741820706573,40.8278189610688,HPD,BRONX
2015-12-13,2015-12-13,24,-73.9826571657823,40.6006723582475,DOT,BROOKLYN
2015-05-17,2015-05-17,20,-73.7226207456652,40.7414512903889,NYPD,QUEENS
2015-09-01,2015-09-03,17,-73.9016898811478,40.8699851680552,DSNY,BRONX
2015-08-13,2015-08-14,19,-74.008104803004,40.7387575700352,DSNY,MANHATTAN
2015-12-30,2015-12-30,15,-73.9203520608448,40.6874526564027,HPD,BROOKLYN
2015-10-02,2015-10-06,19,-73.8477558688882,40.845855556882,HPD,BRONX
